amenities,host_response_rate,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,guests_included,extra_people,availability_365,number_of_reviews,review_scores_rating,reviews_per_month,summary_len,houserules_len,Manhattan,Brooklyn,Queens,Others,Entire_home,Private_room,Shared_room,price
32,1,2,1,1,1,250,115,2,25,21,110,98,1.14,82,103,0,1,0,0,1,0,0,125
38,1,2,1,1,1,0,50,2,0,264,175,97,1.78,47,35,1,0,0,0,0,1,0,175
22,1,4,1,1,1,300,80,2,20,93,88,90,0.9,10,37,0,1,0,0,1,0,0,72
17,1,2,1,1,1,250,85,1,0,0,117,94,1.27,39,151,0,1,0,0,1,0,0,140
42,1,2,1,1,1,0,35,2,15,239,40,98,0.42,27,179,0,1,0,0,0,1,0,80
22,0.7,2,1,1,2,100,0,2,0,340,37,97,1.71,73,79,1,0,0,0,0,1,0,150
20,1,2,1,1,1,200,50,1,0,260,105,97,1.09,1,51,1,0,0,0,1,0,0,200
27,1,6,2.5,3,3,500,200,4,0,0,37,99,0.78,32,5,0,1,0,0,1,0,0,450
47,1,5,1,3,3,0,150,5,100,231,43,96,0.44,56,25,1,0,0,0,1,0,0,198
52,1,2,1,1,1,0,75,1,25,153,58,93,0.59,34,178,1,0,0,0,0,1,0,140
33,0.67,7,1,2,3,250,100,1,0,264,188,93,1.92,1,135,1,0,0,0,1,0,0,250
35,1,1,1,1,1,100,15,1,15,248,34,95,0.35,83,17,1,0,0,0,0,1,0,75
25,1,2,1,1,1,200,120,1,0,31,3,100,0.04,14,17,1,0,0,0,1,0,0,205
17,1,2,1,1,1,400,125,1,0,13,150,97,1.61,80,30,1,0,0,0,1,0,0,190
27,1,2,1,1,1,100,50,2,0,167,101,92,1.05,78,162,0,1,0,0,1,0,0,105
27,1,6,2.5,2,4,200,150,2,40,64,11,95,0.11,85,36,1,0,0,0,1,0,0,250
23,1,2,2,1,1,100,20,1,25,82,42,95,0.44,89,93,1,0,0,0,0,1,0,65
34,1,2,1,1,1,0,100,1,30,26,43,94,0.44,1,14,1,0,0,0,1,0,0,170
57,1,2,1.5,1,1,1000,75,1,45,154,36,97,0.56,90,87,0,1,0,0,0,1,0,85
26,1,2,1,0,1,500,80,1,0,12,18,96,0.19,1,86,1,0,0,0,1,0,0,215
15,1,2,1.5,1,1,150,50,2,25,88,17,100,0.18,28,49,1,0,0,0,0,1,0,170
12,1,1,1,1,0,200,60,1,30,355,3,87,0.04,34,36,1,0,0,0,0,1,0,115
39,1,2,1,1,1,450,45,1,20,21,183,97,1.87,45,53,1,0,0,0,0,1,0,140
21,0.91,5,2.5,2,2,500,120,2,25,317,106,94,1.13,39,149,1,0,0,0,1,0,0,400
17,0.57,4,1,2,1,300,150,4,0,0,11,100,0.45,10,175,0,1,0,0,1,0,0,150
11,0.89,2,1,1,1,100,80,2,100,223,32,93,0.33,65,64,0,1,0,0,1,0,0,97
47,1,6,2,3,4,1000,120,4,50,137,21,99,0.22,80,18,0,1,0,0,1,0,0,500
27,1,2,1,1,1,200,85,2,100,284,92,95,0.96,1,39,1,0,0,0,1,0,0,189
22,1,1,1,1,1,500,50,1,50,324,101,98,1.05,1,122,1,0,0,0,0,1,0,130
70,1,5,1,1,1,400,100,2,5,229,21,97,0.22,38,176,0,0,1,0,1,0,0,107
13,1,5,1,1,1,200,100,2,5,300,24,94,0.25,30,176,0,0,1,0,1,0,0,95
19,0.9,2,1,1,1,500,50,1,20,66,66,94,0.68,77,79,1,0,0,0,0,1,0,199
21,0.9,1,1,1,1,0,25,1,0,0,94,99,1.59,33,32,0,1,0,0,0,1,0,75
26,1,2,1,1,1,200,95,1,0,284,193,96,2.01,80,170,0,1,0,0,1,0,0,99
12,1,5,1,3,5,300,150,1,0,257,1,100,0.02,27,54,0,1,0,0,1,0,0,290
36,1,3,1,1,1,0,0,1,40,327,89,93,0.98,46,186,1,0,0,0,0,1,0,99
14,0.91,2,1,1,1,250,70,2,40,49,92,93,0.95,1,148,0,1,0,0,1,0,0,99
12,1,2,1,1,1,500,100,2,0,64,40,98,0.41,1,86,1,0,0,0,1,0,0,169
23,1,2,1,1,1,200,120,2,30,317,43,99,0.44,93,58,0,1,0,0,1,0,0,160
29,1,2,1,1,1,300,75,3,20,177,33,95,0.34,36,91,0,1,0,0,1,0,0,215
17,1,2,1,2,4,250,50,2,50,300,185,92,2.06,41,66,0,1,0,0,1,0,0,130
33,0.67,2,1,1,1,300,110,1,25,284,81,97,0.84,44,12,1,0,0,0,0,1,0,110
22,0.9,1,1,1,1,600,100,1,0,211,43,96,0.44,32,173,1,0,0,0,0,1,0,139
14,1,1,1,1,1,300,30,1,20,305,52,88,0.54,45,184,0,1,0,0,0,1,0,65
51,1,3,1,1,1,0,65,1,15,166,75,93,0.87,97,195,0,1,0,0,0,1,0,42
17,1,3,0,2,2,200,65,1,45,55,46,94,0.95,43,32,0,1,0,0,0,1,0,85
12,1,6,1,2,2,200,125,4,25,274,86,87,1.22,37,89,0,1,0,0,1,0,0,139
14,0.95,4,1,1,1,100,70,2,30,3,123,94,1.28,20,25,1,0,0,0,1,0,0,149
44,1,2,1,1,1,300,60,1,20,48,50,96,0.64,1,103,1,0,0,0,0,1,0,75
21,1,2,1,1,1,1000,75,1,0,106,25,90,0.26,16,79,1,0,0,0,1,0,0,160
30,1,4,1,1,3,250,100,2,18,285,60,90,0.62,79,101,0,1,0,0,1,0,0,248
50,1,2,1.5,1,1,100,0,1,15,49,177,93,1.87,75,177,1,0,0,0,0,1,0,95
20,1,3,1,1,2,0,100,3,75,289,124,98,1.29,28,66,0,1,0,0,1,0,0,145
26,0.83,1,1,1,1,250,75,1,0,314,56,95,0.59,73,170,0,1,0,0,0,1,0,41
14,0.8,3,1,1,3,400,70,1,0,258,89,93,1,1,10,0,1,0,0,1,0,0,120
16,0.8,2,1,1,1,500,130,2,50,274,32,98,0.34,53,38,0,1,0,0,1,0,0,195
9,0.9,4,1,1,2,0,25,2,15,34,128,92,1.33,1,103,0,1,0,0,1,0,0,70
22,1,4,1,2,2,125,75,3,40,39,31,89,0.32,1,100,0,1,0,0,1,0,0,145
22,1,2,1,1,1,500,100,2,50,0,60,95,0.73,16,12,1,0,0,0,1,0,0,250
15,1,2,1,1,1,100,45,1,0,40,182,97,1.89,47,203,1,0,0,0,1,0,0,230
37,1,2,2,1,1,1000,150,1,25,28,26,99,0.5,40,15,1,0,0,0,0,1,0,200
52,1,4,1,0,2,200,100,2,5,340,25,92,0.26,25,176,0,0,1,0,1,0,0,95
8,1,6,2,2,4,0,100,6,10,24,45,98,0.47,41,25,1,0,0,0,1,0,0,300
16,1,2,1,1,1,500,150,2,30,188,7,91,0.08,35,65,0,1,0,0,1,0,0,100
8,1,1,1,1,1,100,25,1,0,255,21,93,0.38,46,7,1,0,0,0,0,1,0,80
14,0.8,5,1,2,4,0,100,2,50,217,8,83,0.09,1,65,0,1,0,0,1,0,0,172
4,1,3,1,1,0,450,100,2,0,189,29,94,0.3,1,107,1,0,0,0,1,0,0,199
13,1,4,1,1,1,450,100,2,0,186,14,94,0.15,1,81,1,0,0,0,1,0,0,199
18,1,1,1,1,1,100,30,1,50,89,33,96,0.38,17,143,1,0,0,0,0,1,0,100
26,1,2,1,1,1,350,110,2,35,178,143,92,1.5,67,165,1,0,0,0,1,0,0,146
23,1,4,1,1,1,0,0,2,80,6,82,97,0.86,91,173,1,0,0,0,0,1,0,150
26,1,2,1,1,1,500,0,1,20,52,60,92,0.63,84,98,1,0,0,0,0,1,0,69
55,1,1,1,3,3,1000,125,1,0,56,6,92,0.08,84,113,1,0,0,0,0,1,0,300
3,1,2,0,1,0,200,100,3,40,17,18,98,0.21,1,1,0,1,0,0,1,0,0,230
12,1,2,1,1,1,200,0,1,10,249,116,97,1.21,1,62,0,1,0,0,0,1,0,79
7,1,6,1,1,5,0,60,2,40,277,156,97,1.64,1,9,0,1,0,0,0,1,0,130
48,0.86,2,1,1,1,0,20,2,100,339,164,97,1.71,15,5,0,1,0,0,0,1,0,239
21,1,5,1,2,3,500,90,4,25,134,119,99,1.25,51,191,0,1,0,0,1,0,0,220
26,1,6,1,2,4,200,95,4,12,250,125,97,1.31,61,132,1,0,0,0,1,0,0,288
41,1,6,1,1,2,250,50,2,20,291,82,98,0.86,45,104,0,1,0,0,1,0,0,135
27,1,4,1,2,2,500,120,4,50,108,13,97,0.15,81,66,1,0,0,0,1,0,0,225
9,1,2,1,1,2,250,100,2,50,337,63,97,1.82,50,11,0,1,0,0,1,0,0,100
30,0.92,3,1,1,1,120,20,2,25,23,35,95,0.39,80,39,0,1,0,0,1,0,0,99
29,1,2,1,1,1,500,100,2,20,365,115,98,1.2,26,93,1,0,0,0,1,0,0,135
54,1,4,1,1,1,300,135,2,5,299,105,87,1.55,68,2,1,0,0,0,1,0,0,139
15,0.67,2,1,0,1,500,150,1,0,195,83,91,0.88,69,20,1,0,0,0,1,0,0,179
50,1,2,1,1,1,300,175,1,10,76,62,96,0.65,82,55,1,0,0,0,0,1,0,110
31,1,5,2,3,3,1000,150,2,20,0,40,98,0.45,31,3,0,1,0,0,1,0,0,300
33,1,3,1,1,1,300,50,1,65,361,80,97,0.85,88,179,1,0,0,0,0,1,0,149
42,1,2,1,1,1,700,100,2,0,138,137,94,1.44,60,20,1,0,0,0,1,0,0,190
23,0.6,2,1,1,2,500,120,2,20,354,32,100,0.34,66,195,0,1,0,0,1,0,0,178
22,1,4,1,1,3,250,75,2,15,262,128,95,1.38,86,174,0,1,0,0,1,0,0,180
44,0.83,4,2,2,2,1500,150,5,0,48,40,92,0.5,48,133,0,1,0,0,1,0,0,350
29,1,6,1,1,3,300,125,2,25,320,139,87,1.58,63,42,1,0,0,0,1,0,0,99
14,1,3,1,1,1,300,90,2,10,0,170,96,1.89,37,93,1,0,0,0,1,0,0,112
21,1,2,1,1,1,250,60,1,25,68,125,97,1.32,36,122,0,1,0,0,0,1,0,85
